,joint_drug_name,condition_concept_name,PRR,PRR_error
0,amlodipine_basiliximab,condition aggravated,1.11111,1.11111
1,etanercept_tolterodine,mood swings,10.0,10.0
2,chlorhexidine_ranitidine,metastases to lung,3.33333,3.33333
3,oxycodone_mirtazapine,oropharyngeal pain,2.07547,2.07547
4,estradiol_diltiazem,muscle spasms,5.16129,5.16129
5,duloxetine_eszopiclone,urine output decreased,10.0,10.0
6,lisinopril_zolpidem,heart rate decreased,3.28571,3.28571
7,diclofenac_amitriptyline,oesophagitis,8.33333,8.33333
8,vitamin e_cyclosporine,nervous system disorder,10.0,10.0
9,ascorbic acid_ferrous sulfate,aggression,0.9375,0.9375
10,furosemide_pentazocine,irritability,7.5,7.5
11,rivaroxaban_pravastatin,abnormal loss of weight,10.0,10.0
12,calcium carbonate_potassium chloride,lower limb fracture,5.0,5.0
13,simvastatin_sildenafil,incorrect drug administration duration,0.42553199999999997,0.42553199999999997
14,irinotecan_nifedipine,dehydration,1.66667,1.66667
15,"niacin_regular insulin, human",diabetic neuropathy,15.0,15.0
16,fingolimod_loperamide,nervous system disorder,10.0,10.0
17,pramoxine_ondansetron,anaemia,6.66667,6.66667
18,tramadol_brompheniramine,dyspepsia,10.0,10.0
19,warfarin_haloperidol,drug administration error,1.4285700000000001,1.4285700000000001
20,valacyclovir_zolpidem,productive cough,4.61538,4.61538
21,micafungin_doxorubicin,oropharyngeal pain,10.0,10.0
22,meloxicam_rofecoxib,paraesthesia,8.88889,8.88889
23,rosuvastatin_allopurinol,haemodynamic instability,3.84615,3.84615
24,simvastatin_calcium,alveolitis,6.0,6.0
25,caffeine_triamcinolone,back pain,1.66667,1.66667
26,lamotrigine_ciprofloxacin,chills,4.16667,4.16667
27,oxycodone_omeprazole,hostility,1.66667,1.66667
28,doxycycline_cefuroxime,osteonecrosis of jaw,5.0,5.0
29,bupropion_estrogens,gamma-glutamyltransferase increased,5.0,5.0
30,amlodipine_clonazepam,device issue,1.66667,1.66667
31,lamotrigine_fentanyl,body height decreased,5.0,5.0
32,cefazolin_mannitol,ventricular dysfunction,10.0,10.0
33,ibuprofen_gemcitabine,lethargy,4.0,4.0
34,tocilizumab_pravastatin,respiratory failure,10.0,10.0
35,calcium citrate_levothyroxine,cardiac arrest,0.8,0.8
36,valproate_anastrozole,rash,1.11111,1.11111
37,peginterferon alfa-2a_filgrastim,sarcoidosis,10.0,10.0
38,infliximab_morphine,drug dependence,1.66667,1.66667
39,caffeine_valproate,extrapyramidal disorder,2.5,2.5
40,enoxaparin_prochlorperazine,sinusitis,3.33333,3.33333
41,geranylgeranylacetone_ramipril,urinary retention,30.0,30.0
42,risperidone_oxazepam,pruritus,0.151515,0.151515
43,morphine_mirtazapine,non-small cell lung cancer metastatic,5.0,5.0
44,heparin_cefuroxime,lip swelling,1.4285700000000001,1.4285700000000001
45,zoledronic acid_fondaparinux,vomiting,1.81818,1.81818
46,tamsulosin_cefdinir,ill-defined disorder,10.0,10.0
47,carisoprodol_metoprolol,skin haemorrhage,2.5,2.5
48,rofecoxib_digoxin,iron deficiency anaemia,20.0,20.0
49,bevacizumab_fondaparinux,abdominal pain,6.66667,6.66667
50,pioglitazone_metoprolol,cataract nuclear,10.0,10.0
51,warfarin_sodium chloride,abdominal tenderness,10.0,10.0
52,prednisone_metolazone,atrioventricular block first degree,20.0,20.0
53,prednisone_acyclovir,pyelonephritis,5.0,5.0
54,isosorbide_pravastatin,incontinence,3.33333,3.33333
55,nebivolol_amiodarone,blood creatine phosphokinase increased,5.0,5.0
56,cortisone_methylphenidate,dyspepsia,10.0,10.0
57,hydrocodone_naproxen,abnormal behaviour,1.21622,1.21622
58,spironolactone_leuprolide,pulmonary embolism,1.0,1.0
59,polyethylene glycol 3350_pantoprazole,ventricular hypokinesia,10.0,10.0
60,vitamin e_vitamin d3,diarrhoea,1.9047599999999998,1.9047599999999998
61,hydrocortisone_ezetimibe,chills,3.63636,3.63636
62,hydrocodone_propofol,tendonitis,10.0,10.0
63,warfarin_bicalutamide,upper respiratory tract infection,2.8571400000000002,2.8571400000000002
64,furosemide_methylprednisolone,azotaemia,20.0,20.0
65,fluoxetine_rabeprazole,dyspepsia,4.16667,4.16667
66,cetirizine_iron,prosthesis implantation,10.0,10.0
67,clindamycin_ondansetron,urinary bladder haemorrhage,10.0,10.0
68,fenofibrate_loratadine,hip fracture,10.0,10.0
69,niacin_oxycodone,haematuria,2.8571400000000002,2.8571400000000002
70,chlorzoxazone_metoprolol,feeling abnormal,3.33333,3.33333
71,spironolactone_prednisone,radiculopathy,3.33333,3.33333
72,azithromycin_losartan,liver disorder,1.11111,1.11111
73,moxifloxacin_celecoxib,adverse drug reaction,5.0,5.0
74,vitamin e_metoprolol,electrocardiogram qt prolonged,3.75,3.75
75,sertraline_quinine,anaphylactic reaction,20.0,20.0
76,furosemide_fexofenadine,metastatic neoplasm,4.0,4.0
77,lisinopril_doxazosin,ankle fracture,1.66667,1.66667
78,diphenoxylate_ritonavir,neutrophil count decreased,10.0,10.0
79,caffeine_vancomycin,nodule,10.0,10.0
80,medroxyprogesterone_levothyroxine,depression,2.32558,2.32558
81,midazolam_dopamine,post procedural haemorrhage,2.0,2.0
82,isosorbide_potassium chloride,hypoaesthesia oral,1.875,1.875
83,exemestane_zoledronic acid,high density lipoprotein decreased,5.0,5.0
84,hydrochlorothiazide_calcium gluconate,cholelithiasis,2.0,2.0
85,ampicillin_ciprofloxacin,angina pectoris,20.0,20.0
86,olmesartan_urapidil,pain in extremity,1.0,1.0
87,ondansetron_methotrexate,diabetes insipidus,5.0,5.0
88,prednisolone_adalimumab,pulmonary artery stenosis congenital,15.0,15.0
89,ramipril_nabumetone,unevaluable event,1.66667,1.66667
90,vitamin d_gemcitabine,cardiac failure congestive,1.66667,1.66667
91,emtricitabine_trimethoprim,rash generalised,4.0,4.0
92,minocycline_ciprofloxacin,colon cancer,10.0,10.0
93,diosmin_clonidine,pulmonary congestion,10.0,10.0
94,dalteparin_ursodeoxycholate,hepatitis b,10.0,10.0
95,fexofenadine_adalimumab,injection site oedema,10.0,10.0
96,furosemide_prochlorperazine,abdominal pain,4.44444,4.44444
97,terazosin_vitamin d,depression,1.25,1.25
98,granisetron_etoposide,cardiac arrest,1.7647099999999998,1.7647099999999998
99,pantoprazole_dexamethasone,iliac vein thrombosis,3.33333,3.33333
100,zolpidem_celecoxib,angiopathy,6.25,6.25
101,losartan_sildenafil,scar,2.5,2.5
102,tramadol_simvastatin,spondylolisthesis,5.0,5.0
103,potassium_potassium chloride,bone disorder,25.0,25.0
104,hydralazine_clopidogrel,obstruction,5.0,5.0
105,docusate_felodipine,interstitial lung disease,20.0,20.0
106,etanercept_hydroxychloroquine,osteonecrosis,0.27971999999999997,0.27971999999999997
107,"amoxicillin_regular insulin, human",chills,2.5,2.5
108,infliximab_prednisone,candida sepsis,15.0,15.0
109,ibandronate_carvedilol,oral disorder,10.0,10.0
110,metronidazole_ciprofloxacin,psoas abscess,10.0,10.0
111,sertraline_clonidine,skin exfoliation,0.666667,0.666667
112,enoxaparin_hydroxyzine,pruritus,1.3235299999999999,1.3235299999999999
113,tramadol_clonazepam,social problem,3.33333,3.33333
114,aspirin_escitalopram,rash follicular,10.0,10.0
115,cortisone_diphenhydramine,convulsion,0.625,0.625
116,cyclophosphamide_vincristine,pulmonary thrombosis,0.361446,0.361446
117,allopurinol_cefuroxime,arthritis,2.0,2.0
118,potassium_cholestyramine resin,stevens-johnson syndrome,5.0,5.0
119,valsartan_albuterol,poikilocytosis,20.0,20.0
120,bisoprolol_leuprolide,treatment noncompliance,5.0,5.0
121,isosorbide dinitrate_megestrol,ocular icterus,10.0,10.0
122,glipizide_levalbuterol,urinary tract infection,1.11111,1.11111
123,niacin_terazosin,leukopenia,2.0,2.0
124,imipenem_cefepime,candidiasis,20.0,20.0
125,fluoxetine_omeprazole,peripheral swelling,2.04082,2.04082
126,diphenhydramine_esomeprazole,pathological fracture,4.28571,4.28571
127,loratadine_atenolol,obsessive thoughts,5.0,5.0
128,oxycodone_betamethasone,skin ulcer,70.0,70.0
129,albuterol_dihydroxyaluminum sodium carbonate,drug ineffective,1.81818,1.81818
130,oxycodone_somatropin,malabsorption,10.0,10.0
131,clonazepam_methylphenidate,dependence,5.71429,5.71429
132,rabeprazole_verapamil,infection,0.666667,0.666667
133,pantoprazole_trazodone,off label use,1.8012400000000002,1.8012400000000002
134,hydrochlorothiazide_chlordiazepoxide,bronchitis,5.71429,5.71429
135,risperidone_lamotrigine,c-reactive protein abnormal,10.0,10.0
136,diltiazem_mycophenolic acid,haemorrhage,3.33333,3.33333
137,"estrogens, conjugated (usp)_furosemide",coronary artery stenosis,5.83333,5.83333
138,lisinopril_leucovorin,night sweats,1.4285700000000001,1.4285700000000001
139,furosemide_metoprolol,expired product administered,0.909091,0.909091
140,heparin_potassium chloride,post procedural haematoma,10.0,10.0
141,desoximetasone_potassium chloride,gastrooesophageal reflux disease,20.0,20.0
142,diphenidol_magnesium oxide,dehydration,5.0,5.0
143,ezetimibe_allopurinol,skin burning sensation,1.53846,1.53846
144,furosemide_enalapril,pruritus,0.9153319999999999,0.9153319999999999
145,hydrocortisone_ganciclovir,sepsis,8.75,8.75
146,lisinopril_clopidogrel,neck mass,2.8571400000000002,2.8571400000000002
147,loratadine_propranolol,oesophagitis,30.0,30.0
148,propoxyphene_loratadine,colour blindness,10.0,10.0
149,sulbactam_ampicillin,hypoglycaemia,2.69231,2.69231
150,docusate_levothyroxine,incorrect dose administered,0.769231,0.769231
151,bevacizumab_allopurinol,lymphocyte count decreased,6.66667,6.66667
152,gatifloxacin_atorvastatin,myocardial infarction,2.43243,2.43243
153,zolpidem_dimenhydrinate,herpes zoster,10.0,10.0
154,metformin_aripiprazole,eye disorder,2.0,2.0
155,losartan_fluvastatin,difficulty in walking,20.0,20.0
156,furosemide_codeine,oesophageal varices haemorrhage,10.0,10.0
157,folic acid_digoxin,scleroderma,3.33333,3.33333
158,prednisolone_amikacin,renal impairment,13.3333,13.3333
159,atorvastatin_aprotinin,injury,131.5,131.5
160,droperidol_propofol,rash papular,2.5,2.5
161,hydrocodone_mesalamine,cough,2.83333,2.83333
162,varenicline_isosorbide,overdose,1.0,1.0
163,atenolol_digoxin,tibia fracture,0.833333,0.833333
164,efalizumab_levothyroxine,dehydration,2.5,2.5
165,aspirin_bromazepam,photosensitivity reaction,5.0,5.0
166,prednisolone_celecoxib,arteritis,10.0,10.0
167,calcium carbonate_pantoprazole,urinary retention,2.0,2.0
168,benazepril_alprazolam,cardiomyopathy,2.5,2.5
169,amlodipine_rabeprazole,hepatic congestion,10.0,10.0
170,metformin_ferrous fumarate,immune system disorder,2.0,2.0
171,famotidine_baclofen,upper-airway cough syndrome,10.0,10.0
172,buprenorphine_indapamide,nausea,1.36364,1.36364
173,epinephrine_milrinone,multiple injuries,2.0,2.0
174,loratadine_temazepam,diarrhoea,3.4782599999999997,3.4782599999999997
175,famotidine_quinine,weight increased,4.0,4.0
176,vitamin d_metoprolol,family stress,1.66667,1.66667
177,losartan_venlafaxine,hip fracture,16.6667,16.6667
178,carisoprodol_atropine,dilatation ventricular,10.0,10.0
179,diclofenac_golimumab,dyspnoea,0.56338,0.56338
180,docusate_paricalcitol,cardiac arrest,5.0,5.0
181,prochlorperazine_trastuzumab,back injury,10.0,10.0
182,ipratropium_nicardipine,white blood cell count increased,10.0,10.0
183,vigabatrin_phenytoin,sepsis,0.909091,0.909091
184,oxycodone_risedronate,suicidal ideation,1.57895,1.57895
185,loperamide_itraconazole,condition aggravated,2.0,2.0
186,losartan_propoxyphene,rectal haemorrhage,1.4285700000000001,1.4285700000000001
187,diclofenac_insulin lispro,incorrect dose administered,1.0,1.0
188,fexofenadine_formoterol,skin striae,40.0,40.0
189,ibuprofen_oxymorphone,aggression,5.0,5.0
190,simvastatin_linagliptin,injection site erythema,0.5882350000000001,0.5882350000000001
191,venlafaxine_bortezomib,libido decreased,10.0,10.0
192,potassium_ferrous sulfate,osteoarthritis,4.54545,4.54545
193,mepivacaine_nitrous oxide,migraine,5.0,5.0
194,folic acid_chlorpromazine,hyperhidrosis,1.25,1.25
195,"insulin, isophane_alendronate",tricuspid valve incompetence,10.0,10.0
196,temazepam_fluconazole,hepatic encephalopathy,10.0,10.0
197,sumatriptan_olmesartan,affective disorder,10.0,10.0
198,lenalidomide_ketoconazole,nausea,3.8095199999999996,3.8095199999999996
199,colistin_acetylcysteine,hallucination,5.0,5.0
200,zoledronic acid_bupropion,overweight,40.0,40.0
201,bifidobacterium infantis_levothyroxine,acne,10.0,10.0
202,tianeptine_digoxin,condition aggravated,10.0,10.0
203,metronidazole_diphenoxylate,mental status changes,30.0,30.0
204,fluticasone_isosorbide,prostate cancer,2.5,2.5
205,paliperidone_escitalopram,medication error,1.25,1.25
206,docusate_ramipril,emphysema,15.0,15.0
207,risperidone_ceftazidime,hypotension,6.66667,6.66667
208,vindesine_mesna,paraesthesia,2.0,2.0
209,pantoprazole_levalbuterol,constipation,2.08333,2.08333
210,miconazole_acenocoumarol,pyrexia,1.11111,1.11111
211,risperidone_solifenacin,haematuria,10.0,10.0
212,triamcinolone_pregabalin,hemiparesis,5.0,5.0
213,hydrochlorothiazide_cetirizine,homicidal ideation,2.5,2.5
214,zolpidem_sitagliptin,myocardial infarction,1.11111,1.11111
215,hydrocodone_diltiazem,change of bowel habit,3.33333,3.33333
216,cyclobenzaprine_azelastine,oedema,2.0,2.0
217,metoclopramide_amiodarone,palmar-plantar erythrodysaesthesia syndrome,6.66667,6.66667
218,tizanidine_alprazolam,apnoea,2.0,2.0
219,acetaminophen_ibuprofen,lung neoplasm,3.0303,3.0303
220,metformin_pseudoephedrine,pancreatitis acute,3.75,3.75
221,vitamin b 12_standardized senna concentrate,intestinal obstruction,5.0,5.0
222,valacyclovir_gemcitabine,depression,2.0,2.0
223,tizanidine_dantrolene,loss of consciousness,1.11111,1.11111
224,fulvestrant_cephalexin,inflammation,20.0,20.0
225,terazosin_oxybutynin,bradycardia,10.0,10.0
226,diclofenac_torsemide,angioedema,1.11111,1.11111
227,albuterol_iron,blood disorder,5.0,5.0
228,vancomycin_pamidronate,peripheral arterial occlusive disease,30.0,30.0
229,fentanyl_dobutamine,abdominal pain,1.05263,1.05263
230,clopidogrel_bromazepam,hepatitis cholestatic,3.33333,3.33333
231,fluindione_pantoprazole,deep vein thrombosis,0.833333,0.833333
232,omeprazole_magnesium sulfate,post procedural complication,1.4285700000000001,1.4285700000000001
233,citalopram_mebeverine,hallucination,10.0,10.0
234,oxycodone_vancomycin,temperature intolerance,10.0,10.0
235,tobramycin_acetaminophen,incorrect dose administered,0.526316,0.526316
236,aspirin_pamidronate,hypovolaemia,80.0,80.0
237,"regular insulin, human_fluconazole",gastrointestinal infection,5.0,5.0
238,hydrocortisone_infliximab,hand fracture,1.0,1.0
239,cytarabine_febuxostat,platelet count decreased,5.0,5.0
240,risedronate_levothyroxine,blood sodium decreased,2.0,2.0
241,lisinopril_nitroglycerin,cataplexy,5.0,5.0
242,montelukast_carvedilol,hepatic encephalopathy,3.33333,3.33333
243,efavirenz_fluconazole,encephalopathy,3.33333,3.33333
244,"furosemide_insulin, isophane",breath odour,10.0,10.0
245,nitrofurantoin_formoterol,pneumonia,5.55556,5.55556
246,amitriptyline_methotrexate,clostridium difficile colitis,1.25,1.25
247,prednisolone_etidronate,abdominal discomfort,1.0,1.0
248,moclobemide_pregabalin,death,4.0,4.0
249,vitamin e_atenolol,scar,8.0,8.0
250,sulfasalazine_levothyroxine,hip fracture,2.63158,2.63158
251,losartan_oxycodone,joint swelling,2.28571,2.28571
252,pamidronate_docetaxel,haemoptysis,12.0,12.0
253,dabigatran etexilate_omeprazole,hyperthermia,0.714286,0.714286
254,lamivudine_pregabalin,polyneuropathy,10.0,10.0
255,granisetron_vincristine,altered state of consciousness,5.0,5.0
256,morphine_levothyroxine,blood bilirubin abnormal,10.0,10.0
257,diphenhydramine_allopurinol,nephrogenic systemic fibrosis,70.0,70.0
258,albuterol_primidone,increased upper airway secretion,6.66667,6.66667
259,atorvastatin_leucovorin,dystonia,1.25,1.25
260,itraconazole_gabapentin,nausea,2.38095,2.38095
261,lisinopril_allopurinol,oral mucosal erythema,10.0,10.0
262,fluvoxamine_benztropine,myocardial infarction,2.0,2.0
263,candesartan_celecoxib,injection site haemorrhage,0.526316,0.526316
264,metronidazole_thalidomide,international normalised ratio increased,3.33333,3.33333
